app,year,metric,value,source_name,source_url
Headspace,2016,downloads_mm,5,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2017,downloads_mm,9.9,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2018,downloads_mm,16.1,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2019,downloads_mm,15.3,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2020,downloads_mm,12.1,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2021,downloads_mm,9.9,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2022,downloads_mm,5.7,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2023,downloads_mm,5.1,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2024,downloads_mm,4,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2025,downloads_mm,3,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2017,paid_subscribers_mm,0.4,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2018,paid_subscribers_mm,1,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2019,paid_subscribers_mm,1.3,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2020,paid_subscribers_mm,2,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2021,paid_subscribers_mm,3.5,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2022,paid_subscribers_mm,3.3,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2023,paid_subscribers_mm,2.8,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2024,paid_subscribers_mm,2.3,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
Headspace,2025,paid_subscribers_mm,2,Business of Apps — Headspace Revenue and Usage Statistics (2026),https://www.businessofapps.com/data/headspace-statistics/
